analysis_type,user_segment_profile,user_segment_size,avg_monthly_trips,avg_monthly_distance,conversion_readiness_score,optimal_trigger_timing,personalized_offer_type,personalized_messaging_theme,automation_strategy,communication_channels,success_metrics,investment_per_lead,implementation_priority,estimated_monthly_conversions
USAGE_TRIGGER_ANALYSIS,Daily User + Highly Consistent + Exploration-Focused,5132,383,833.72,95,Immediate (within 1-3 days of milestone),Distance Champion Membership - Extended Time Limits,City Discovery - Unlock Every Neighborhood,Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,Immediate Implementation,1540
USAGE_TRIGGER_ANALYSIS,Frequent User + Highly Consistent + Exploration-Focused,776,31,68.75,95,Immediate (within 1-3 days of milestone),Distance Champion Membership - Extended Time Limits,City Discovery - Unlock Every Neighborhood,Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,Immediate Implementation,233
USAGE_TRIGGER_ANALYSIS,Daily User + Highly Consistent + Mixed-Purpose,77,212,nan,95,Immediate (within 1-3 days of milestone),Consistency Reward - Habit Formation Incentive,"Smart Transportation - Flexible, Affordable, Reliable",Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,Immediate Implementation,23
USAGE_TRIGGER_ANALYSIS,Frequent User + Highly Consistent + Mixed-Purpose,33,24,nan,95,Immediate (within 1-3 days of milestone),Consistency Reward - Habit Formation Incentive,"Smart Transportation - Flexible, Affordable, Reliable",Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,High Priority Implementation,10
USAGE_TRIGGER_ANALYSIS,Daily User + Highly Consistent + Recreation-Focused,25,1076,nan,95,Immediate (within 1-3 days of milestone),Unlimited Weekend Pass + Member Benefits,Unlimited Fun - No Limits on Your Adventures,Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,High Priority Implementation,8
USAGE_TRIGGER_ANALYSIS,Regular User + Highly Consistent + Exploration-Focused,612,18,41.78,85,Immediate (within 1-3 days of milestone),Distance Champion Membership - Extended Time Limits,City Discovery - Unlock Every Neighborhood,Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,Immediate Implementation,184
USAGE_TRIGGER_ANALYSIS,Regular User + Moderately Consistent + Exploration-Focused,135,15,37.64,85,Immediate (within 1-3 days of milestone),Distance Champion Membership - Extended Time Limits,City Discovery - Unlock Every Neighborhood,Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,Immediate Implementation,41
USAGE_TRIGGER_ANALYSIS,Regular User + Highly Consistent + Mixed-Purpose,133,14,nan,85,Short-term (within 1 week of milestone),Standard Membership with First Month Free,"Smart Transportation - Flexible, Affordable, Reliable",Real-time trigger: Immediate email + push notification + personalized call,Email + In-App + Push Notification,25-40% conversion rate target,$15-25 per conversion attempt,Immediate Implementation,40
USAGE_TRIGGER_ANALYSIS,Regular User + Moderately Consistent + Mixed-Purpose,41,13,nan,85,Short-term (within 1 week of milestone),Standard Membership with First Month Free,"Smart Transportation - Flexible, Affordable, Reliable",Real-time trigger: Immediate email + push notification + personalized call,Email + In-App + Push Notification,25-40% conversion rate target,$15-25 per conversion attempt,High Priority Implementation,12
USAGE_TRIGGER_ANALYSIS,Regular User + Highly Consistent + Recreation-Focused,38,17,nan,85,Immediate (within 1-3 days of milestone),Unlimited Weekend Pass + Member Benefits,Unlimited Fun - No Limits on Your Adventures,Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,High Priority Implementation,11
USAGE_TRIGGER_ANALYSIS,Regular User + Highly Consistent + Commute-Focused,14,16,32.65,85,Immediate (within 1-3 days of milestone),Distance Champion Membership - Extended Time Limits,Time & Cost Savings - Your Daily Commute Optimized,Real-time trigger: Immediate email + push notification + personalized call,Email + SMS + In-App + Phone Call,25-40% conversion rate target,$15-25 per conversion attempt,Medium Priority Implementation,4
USAGE_TRIGGER_ANALYSIS,Infrequent User + Somewhat Consistent + Mixed-Purpose,947,3,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,"Smart Transportation - Flexible, Affordable, Reliable",Batch campaign: Monthly newsletter + quarterly promotional offers,Email Only,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,142
USAGE_TRIGGER_ANALYSIS,Occasional User + Moderately Consistent + Mixed-Purpose,757,7,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,"Smart Transportation - Flexible, Affordable, Reliable",Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,114
USAGE_TRIGGER_ANALYSIS,Occasional User + Moderately Consistent + Exploration-Focused,283,10,32.17,45,Short-term (within 1 week of milestone),Distance Champion Membership - Extended Time Limits,City Discovery - Unlock Every Neighborhood,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + In-App + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,42
USAGE_TRIGGER_ANALYSIS,Infrequent User + Somewhat Consistent + Recreation-Focused,221,4,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Unlimited Fun - No Limits on Your Adventures,Batch campaign: Monthly newsletter + quarterly promotional offers,Email Only,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,33
USAGE_TRIGGER_ANALYSIS,Infrequent User + Moderately Consistent + Mixed-Purpose,190,4,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,"Smart Transportation - Flexible, Affordable, Reliable",Batch campaign: Monthly newsletter + quarterly promotional offers,Email Only,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,29
USAGE_TRIGGER_ANALYSIS,Infrequent User + Somewhat Consistent + Commute-Focused,171,3,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Time & Cost Savings - Your Daily Commute Optimized,Batch campaign: Monthly newsletter + quarterly promotional offers,Email Only,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,26
USAGE_TRIGGER_ANALYSIS,Occasional User + Moderately Consistent + Recreation-Focused,159,8,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Unlimited Fun - No Limits on Your Adventures,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,24
USAGE_TRIGGER_ANALYSIS,Occasional User + Highly Consistent + Mixed-Purpose,150,9,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,"Smart Transportation - Flexible, Affordable, Reliable",Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,23
USAGE_TRIGGER_ANALYSIS,Occasional User + Somewhat Consistent + Mixed-Purpose,141,6,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,"Smart Transportation - Flexible, Affordable, Reliable",Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,21
USAGE_TRIGGER_ANALYSIS,Occasional User + Highly Consistent + Exploration-Focused,133,13,35.28,45,Short-term (within 1 week of milestone),Distance Champion Membership - Extended Time Limits,City Discovery - Unlock Every Neighborhood,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + In-App + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,20
USAGE_TRIGGER_ANALYSIS,Occasional User + Moderately Consistent + Commute-Focused,44,6,11.04,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Time & Cost Savings - Your Daily Commute Optimized,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,7
USAGE_TRIGGER_ANALYSIS,Infrequent User + Moderately Consistent + Recreation-Focused,38,5,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Unlimited Fun - No Limits on Your Adventures,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,6
USAGE_TRIGGER_ANALYSIS,Infrequent User + Inconsistent + Mixed-Purpose,31,3,5.56,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,"Smart Transportation - Flexible, Affordable, Reliable",Batch campaign: Monthly newsletter + quarterly promotional offers,Email Only,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,5
USAGE_TRIGGER_ANALYSIS,Occasional User + Highly Consistent + Recreation-Focused,24,10,13.35,45,Short-term (within 1 week of milestone),Standard Membership with First Month Free,Unlimited Fun - No Limits on Your Adventures,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + In-App + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,4
USAGE_TRIGGER_ANALYSIS,Infrequent User + Moderately Consistent + Commute-Focused,17,5,10.36,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Time & Cost Savings - Your Daily Commute Optimized,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,3
USAGE_TRIGGER_ANALYSIS,Infrequent User + Inconsistent + Recreation-Focused,16,3,11.53,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Unlimited Fun - No Limits on Your Adventures,Batch campaign: Monthly newsletter + quarterly promotional offers,Email Only,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,2
USAGE_TRIGGER_ANALYSIS,Occasional User + Somewhat Consistent + Exploration-Focused,15,7,26.36,45,Medium-term (within 2 weeks of milestone),Explorer Membership - System-Wide Access,City Discovery - Unlock Every Neighborhood,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,2
USAGE_TRIGGER_ANALYSIS,Occasional User + Somewhat Consistent + Recreation-Focused,15,7,nan,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Unlimited Fun - No Limits on Your Adventures,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,2
USAGE_TRIGGER_ANALYSIS,Occasional User + Somewhat Consistent + Commute-Focused,12,6,11.31,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Time & Cost Savings - Your Daily Commute Optimized,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,2
USAGE_TRIGGER_ANALYSIS,Occasional User + Highly Consistent + Commute-Focused,10,9,15.13,45,Long-term (within 1 month of milestone),Standard Membership with First Month Free,Time & Cost Savings - Your Daily Commute Optimized,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,2
USAGE_TRIGGER_ANALYSIS,Infrequent User + Somewhat Consistent + Exploration-Focused,10,9,36.88,45,Medium-term (within 2 weeks of milestone),Distance Champion Membership - Extended Time Limits,City Discovery - Unlock Every Neighborhood,Batch campaign: Monthly newsletter + quarterly promotional offers,Email + Push Notification,10-20% conversion rate target,$2-5 per conversion attempt,Low Priority Implementation,2
