analysis_type,member_casual,trip_year,day_name,day_type,total_daily_trips,avg_duration_minutes,pct_of_weekly_trips,trip_hour,hour_rank,previous_year_trips,yoy_growth_pct
DAILY_SUMMARY,casual,2023,Friday,Weekday,302987,19.23,15.15,,,,
DAILY_SUMMARY,casual,2023,Monday,Weekday,228193,19.3,11.41,,,,
DAILY_SUMMARY,casual,2023,Saturday,Weekend,398572,21.93,19.93,,,,
DAILY_SUMMARY,casual,2023,Sunday,Weekend,325605,22.990000000000002,16.28,,,,
DAILY_SUMMARY,casual,2023,Thursday,Weekday,262929,17.46,13.15,,,,
DAILY_SUMMARY,casual,2023,Tuesday,Weekday,239282,17.9,11.97,,,,
DAILY_SUMMARY,casual,2023,Wednesday,Weekday,242147,17.29,12.11,,,,
DAILY_SUMMARY,casual,2024,Friday,Weekday,305303,19.25,14.68,,,302987,0.76
DAILY_SUMMARY,casual,2024,Monday,Weekday,245879,19.39,11.82,,,228193,7.75
DAILY_SUMMARY,casual,2024,Saturday,Weekend,429367,22.39,20.64,,,398572,7.73
DAILY_SUMMARY,casual,2024,Sunday,Weekend,356867,23.240000000000002,17.16,,,325605,9.60
DAILY_SUMMARY,casual,2024,Thursday,Weekday,256482,17.78,12.33,,,262929,-2.45
DAILY_SUMMARY,casual,2024,Tuesday,Weekday,225473,17.82,10.84,,,239282,-5.77
DAILY_SUMMARY,casual,2024,Wednesday,Weekday,260753,17.94,12.54,,,242147,7.68
DAILY_SUMMARY,member,2023,Friday,Weekday,517105,12.2,14.51,,,,
DAILY_SUMMARY,member,2023,Monday,Weekday,481791,11.5,13.52,,,,
DAILY_SUMMARY,member,2023,Saturday,Weekend,459709,13.26,12.90,,,,
DAILY_SUMMARY,member,2023,Sunday,Weekend,397885,13.35,11.17,,,,
DAILY_SUMMARY,member,2023,Thursday,Weekday,573645,11.629999999999999,16.10,,,,
DAILY_SUMMARY,member,2023,Tuesday,Weekday,561793,11.74,15.77,,,,
DAILY_SUMMARY,member,2023,Wednesday,Weekday,571409,11.77,16.04,,,,
DAILY_SUMMARY,member,2024,Friday,Weekday,516198,11.91,14.18,,,517105,-0.18
DAILY_SUMMARY,member,2024,Monday,Weekday,525597,11.690000000000001,14.43,,,481791,9.09
DAILY_SUMMARY,member,2024,Saturday,Weekend,469454,13.25,12.89,,,459709,2.12
DAILY_SUMMARY,member,2024,Sunday,Weekend,408943,13.290000000000001,11.23,,,397885,2.78
DAILY_SUMMARY,member,2024,Thursday,Weekday,560838,11.709999999999999,15.40,,,573645,-2.23
DAILY_SUMMARY,member,2024,Tuesday,Weekday,560822,11.8,15.40,,,561793,-0.17
DAILY_SUMMARY,member,2024,Wednesday,Weekday,599412,11.89,16.46,,,571409,4.90
PEAK_HOURS,casual,2024,Weekday,Weekday,140323,18.96,,17,1,,
PEAK_HOURS,casual,2024,Weekday,Weekday,120398,19.080000000000002,,18,2,,
PEAK_HOURS,casual,2024,Weekday,Weekday,119446,19.41,,16,3,,
PEAK_HOURS,casual,2024,Weekend,Weekend,70570,25.79,,15,1,,
PEAK_HOURS,casual,2024,Weekend,Weekend,68713,26.630000000000003,,14,2,,
PEAK_HOURS,casual,2024,Weekend,Weekend,67509,27.29,,13,3,,
PEAK_HOURS,member,2024,Weekday,Weekday,323024,13.040000000000001,,17,1,,
PEAK_HOURS,member,2024,Weekday,Weekday,269036,12.61,,16,2,,
PEAK_HOURS,member,2024,Weekday,Weekday,243448,12.620000000000001,,18,3,,
PEAK_HOURS,member,2024,Weekend,Weekend,69177,14.24,,13,1,,
PEAK_HOURS,member,2024,Weekend,Weekend,68963,14.540000000000001,,15,2,,
PEAK_HOURS,member,2024,Weekend,Weekend,68827,14.219999999999999,,12,3,,
